Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,FetchSize,WriteSize,DispatchNs,BeginNs,EndNs,CompleteNs
260,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,520,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524337,5,782277787837511,782277787986071,782277788761120,782277788768481
264,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,528,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524940,262144,782277790849319,782277790999226,782277791853476,782277791860898
265,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,530,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524348,4,782277791924427,782277792075559,782277792832687,782277792839587
269,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,538,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524880,262144,782277794913175,782277795062794,782277795919284,782277795926865
270,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,540,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524345,5,782277795993184,782277796145366,782277796912895,782277796920294
274,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,548,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524981,262144,782277798982702,782277799133081,782277799994211,782277800001341
275,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,550,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524342,5,782277800064440,782277800218054,782277800963183,782277800976701
279,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,558,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524956,262144,782277803042529,782277803197449,782277804058259,782277804069898
280,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,560,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524346,5,782277804136927,782277804309942,782277805080031,782277805092917
284,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,568,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524957,262144,782277807151115,782277807300697,782277808154147,782277808165654
